Name,Instrument,Teachers,Schools,Competitions,Festivals,Chamber Groups,Chamber Group Partners,When Began Current
Duoming Ba,Violinist,Joseph Silverstein; Roland Vamos; Almita Vamos; Zhong-Long Sheng,The Curtis Institute of Music; Oberlin Conservatory of Music; Central Conservatory of Music in Beijing,Beijing's Junior Violin Competition; Summer Music Festival Concerto Competition at the Music Academy of the West; North Shore Music Center Concerto Competition,Sarasota Music Festival; Santa Barbara Music Festival,,,2003
Soohyun Kwon,Violinist,Nam Yun Kim; Min Kim; Glenn Dicterow,Seoul National University; The Juilliard School,,Bregenz Summer Music Festival; Smetana Hall; Goldensaal Musikverein,Alma Piano Trio; Quartet 94,Alice Tully Hall; Salisbury State University; Goethe Institute,2001
Hannah Choi,Violinist,Glenn Dicterow; Lisa Kim; Donald Weilerstein; Jamie Laredo; Joseph Silverstein; Yumi N. Scott,,Albert M. Greenfield Competition; Seoul International Music Competition,Yellow Barn; Pacific Music; Tanglewood; New York String Seminar; Encore School for Strings; Aspen Summer Music,,,2014
Dasol Jeong,Violin,Glenn Dicterow; Lisa Kim; Ida Kavafian; Pinchas Zukerman; Patinka Kopec; Oleh Krysa,Manhattan School of Music; The Juilliard School; Eastman School of Music,Oleh Krysa International Violin Competition; Mykola Lysenko International Music Competition; Canadian Music Competition,CBC Musics 30 Hot Canadian Classical Musicians Under 30,,,2019
I-Jung Huang,Violin,Glenn Dicterow; Lisa Kim; Miriam Fried; Donald Weilerstein; Daniel Phillips,Manhattan School of Music; New England Conservatory; The Juilliard School,2017 Ima Hogg Concerto Competition; 2016 Hudson Valley String Competition; 2015 Michael Hill International Violin Competition; Taipei Symphony Orchestra 'The Young Talent' competition; Academy of Taiwan Strings Competition; Young Artist Taiwan Bank,Perlman Music Program Chamber Music Workshop; Ravinia Festival; Four Seasons Winter Workshop; Kneisel Hall; Taos School of Music; Musique de Chambre en Normandie,Gioviale Quartet; TwoBows,Robert McDonald; Cynthia Phelps; Leila Josefowicz; Ronald Thomas; Peter Wiley; Merry Peckham; Paul Neubauer; Zlatomir Fung; Paul Biss,2022
Alina Kobialka,Violinist,Li Lin; Wei He; Robert Lipsett; Danielle Belen; Ilya Kaler,San Francisco Conservatory of Music; Colburn Schools Music Academy; Cleveland Institute of Music,2017 Elmar Oliveira International Violin Competition; 2016 Irving M. Klein International Competition; Mondavi Center National Young Artists Competition,Marlboro Music Festival,,Mitsuko Uchida; Jonathan Biss; Kim Kashkashian; Peter Wiley,2022
Hyunju Lee,Violinist,Arnold Steinhardt; Victor Danchenko; William Preucil; David Cerone; Robert Mann,The Curtis Institute of Music; The Cleveland Institute of Music; The Juilliard School,CIM Concerto Competition; Hudson Valley Philharmonic String Competition,Kneisel Hall Chamber Music Festival; Sarasota Music Festival; Tanglewood Music Festival,Curtis Chamber Orchestra,Tanglewood Music Center Orchestra,2009
Kyung Ji Min,Violinist,Hyuna Kim; Aaron Rosand; Shmuel Ashkenasi; Sylvia Rosenberg; Ronald Copes,Yewon School; Curtis Institute of Music; The Juilliard School,Long Thibaud International Competition; Munetsugu Angel Violin Competition,Verbier Chamber Orchestra; Guro Arts Festival Orchestra,,,2019
Mari Schwalbach,Violin,Ida Kavafian; Joseph Silverstein,Curtis Institute of Music,2010 Stradivarius International Violin Competition; Music Teachers National Association 2008 Junior Strings Competition,Seattle Chamber Music Society Summer Festival; Strings Music Festival; Music From Angel Fire; Deer Valley Music Festival; Methow Valley Music Festival; Keshet Eilon Violin Mastercourse; Verbier Festival Academy; Starling-DeLay Symposia,Curtis Chamber Orchestra,Roberto Daz; Robert Spano,2016
Na Sun,Violin,Yaoji Lin; Roman Totenberg,Central Conservatory of Music in Beijing; Boston University,Bach Competition,Kneisel Hall Chamber Music Festival,,,2006
Jin Suk Yu,Violinist,Naoko Tanaka; Joseph Lin,The Juilliard School,Concerto competition,Verbier Festival Orchestra; Artosphere Festival Orchestra; Sarasota Music Festival; Aspen Music Festival,Beethovens Archduke Trio with pianist Yefim Bronfman,Yefim Bronfman,2015
Rebecca Young,viola,,The Juilliard School,,Tanglewood,Boston Chamber Music Society; Boston Symphony Chamber Players; New York Philharmonic Ensembles; The Chamber Music Society of Lincoln Center,Yo-Yo Ma; Emanuel Ax; Pamela Frank; Edgar Meyer; Cynthia Phelps,1994
Cynthia Phelps,Viola,,The Juilliard School; Manhattan School of Music,Lionel Tertis International Viola Competition; Washington International String Competition,Santa Fe; La Jolla; Seattle; Chamber Music Northwest; Bridgehampton,New York Philharmonic String Quartet; Chamber Music Society of Lincoln Center; Jupiter Chamber Players; Les Amies,Nancy Allen; Carol Wincenc,2016
Sofia Basile,viola,Dimitri Murrath; Carol Rodland,New England Conservatory; The Juilliard School,,Symphony Hall; Carnegie Hall; Alice Tully Hall; Royal Albert Hall; Musikverein,-,-,2023
Leah Ferguson,viola,Roland Vamos; Robert Vernon; Mark Jackobs; Heidi Castleman; Cynthia Phelps,Cleveland Institute of Music; The Juilliard School,,Music@Menlo; Ravinias Steans Music Institute; Verbier Festival; Perlman Music Program,Academy of St Martin in the Fields Chamber Ensemble,Itzhak Perlman; Joshua Bell; Miriam Fried,2018
Katherine Greene,Viola,William Lincer,The Juilliard School,Artists International Competition,Fabbri Chamber Concerts,Rosewood Chamber Ensemble,Soviet Emigre Orchestra; Orchestra of the 20th Century,1990
Peter Kenote,viola,,University of Washington; The Juilliard School,,,,Rebekah Kenote; Ruth Kenote,1983
Kenneth Mirkin,viola,Lillian Fuchs; William Lincer,The Juilliard School,Aspen Concerto Competition,Aspen Music Festival,Aspen Festival Orchestra; Aspen Chamber Symphony,,1982
Vivek Kamath,Violist,Lynn Blakeslee; Donald Weilerstein; David Updegraff; Kirsten Docter; Karen Tuttle,Eastman School of Music; Cleveland Institute of Music; The Juilliard School,Washington International String Competition; Irving M. Klein International String Competition,Marlboro; Bridgehampton; Ravinia; Arcady; Sun Valley; Sarasota; Kent Blossom; Bowdoin,Chamber Music Society of Lincoln Center; Bargemusic; New York Philharmonic Ensembles,,1997
Tabitha Rhee,viola,Hye-Sun Lee; Almita Vamos; Roland Vamos; Misha Amory; Heidi Castleman,Music Institute of Chicago Academy; The Juilliard School,Juilliard Concerto Competition,Music@Menlo International Program; Ravinia Steans Music Institute; Verbier Festival Academy; Bravo! Vail; Pierce Hill Chamber Festival; Four Seasons Chamber Festival; Aspen Music Festival,Orpheus Chamber Orchestra; Princeton Symphony Orchestra; APEX Ensemble; Jupiter Symphony Chamber Players,Roger Tapping; Antoine Tamestit; Nobuko Imai,2023
Robert Rinehart,viola,Isadore Tinkleman; Jaime Laredo; David Cerone; Ivan Galamian,San Francisco Conservatory of Music; The Curtis Institute of Music,,Spoleto; Vancouver Chamber Music; Santa Fe Chamber Music,Ridge String Quartet,Benny Goodman; Rudolf Firkusny; Guarneri String Quartet,1992
Carter Brey,Cello,Laurence Lesser; Stephen Kates; Aldo Parisot,Peabody Institute; Yale University,Rostropovich International Cello Competition,Spoleto; Santa Fe Chamber Music Festival; La Jolla Chamber Music Festival,New York Philharmonic String Quartet,Tokyo String Quartet; Emerson String Quartet; The Chamber Music Society of Lincoln Center,1996
Matthew Christakos,Cello,Peter Wiley; Gary Hoffman; David Hetherington; Hans Jrgen Jensen,Curtis Institute of Music; Royal Conservatory of Musics Phil and Eli Taylor Performance Academy for Young Artists,2019 Canada Council for the Artss Michael Measures Prize; 2019 Stepping Stone - Second Prize; 2017 Toronto Kiwanis Music Festival Presidents Trophy Competition - First Prize,Morningside Music Bridge program,Curtis Symphony Orchestra,,2024
Elizabeth Dyson,cello,William Pleeth; Jennifer Ward Clarke; Maurice Gendron; Lawrence Lesser; Bernard Greenhouse; Colin Carr; Louis Krasner; Eugene Lehner,Yehudi Menuhin School; New England Conservatory,,Salzburg; Bath; Schleswig-Holstein; Bach Aria; Cape and Islands; Bellingham,Merkin Hall; David Geffen Hall; Bargemusic,,25
Patrick Jee,Cellist,Aldo Parisot,The Juilliard School; Yale University,Carlos Prieto International Cello Competition; Andre Navarra International Cello Competition; Holland-America Music Society Cello Competition; Irving Klein String Competition,Aspen; Banff; Caramoor; Casals; Kneisel Hall; La Jolla; Olympic,New Piano Trio; Sejong Soloists; Ensemble Ditto,Barry Douglas; Vladimir Feltsman; Lynn Harrell; Cho-Liang Lin; Gil Shaham,2013
Maria Kitsopoulos,Cellist,Jerome Carrington; Ardyth Alton; Scott Ballantyne; Harvey Shapiro; Aldo Parisot,The Juilliard School,Emmanuel Feuermann Cello Competition (finalist); National Society of Arts and Letters Cello Competition (prizewinner),Aspen Music Festival; Tanglewood Music Festival,CELO,Peter Schickele; Meyer Kupferman; Reza Vali,1996
Alexei Yupanqui Gonzales,cello,Laurence Lesser; Paul Katz,New England Conservatory of Music,Coleman International Chamber Competition,Tanglewood Music Center; Schleswig-Holstein Music Festival; Banff; International Music Arts Institute; Killington Music Festival,Azure Trio,John Gibbons,2012
Sumire Kudo,cellist,Akiyoshi Kudo,Toho School; The Juilliard School,Hideo Saito Memorial Fund Award; Sapporo Junior Cello Competition; 62nd Japan Music Competition,Nagano-Aspen Music; Aspen Music; Santa Fe; Marlboro Music,Avalon String Quartet,,2006
Qiang Tu,Cellist,Bernard Greenhouse; Zara Nelsova; Paul Tortelier,Beijing Central Conservatory; Rutgers University,,,New York Philharmonic,Garrick Ohlsson; Jean-Yves Thibaudet; Lukas Foss; Glenn Dicterow; Stanley Drucker,3
Nathan Vickery,cello,Peter Wiley; Susan Moses,Curtis Institute of Music; Indiana University String Academy,Indianapolis Symphony Orchestra soloist,Marlboro Chamber Music Festival; Summer Music at Indiana University; Steans Music Institute at Ravinia,Rosamunde String Quartet,Noah Bendix-Balgley; Shanshan Yao; Teng Li,2013
Timothy Cobb,Double Bass,Roger Scott,Curtis Institute of Music,,Marlboro Music festival; Sarasota Music Festival,Musicians from Marlboro series,Stephen Lang,2014
Ru-Pei Yeh,cello,Orlando Cole; Robert Marsh; Laurence Lesser; Joel Krosnick,Temple Preparatory School; North Carolina School of the Arts; New England Conservatory; The Juilliard School,winner of numerous competitions,performed in various festivals in Taiwan and the U.S.,Formosa Quartet,string quartet of principal players from the San Diego Symphony,2006
Randall Butler,bassist,,New York Philharmonic; Columbia University,,,,,1976
Max Zeugner,Double Bass,Deborah Dunham; Richard Hartshorne; Orin OBrien; Edwin Barker,New England Conservatory Preparatory School; The Juilliard School; Boston Universitys College of Fine Arts,Boston Symphony Orchestra Young Artists Competition - 2001; Boston University's Concerto Competition - 2005,"Apple Hill Center for Chamber Music in Nelson, New Hampshire; Edinburgh Festival",Apple Hill Chamber Players; Worcester Chamber Music Society; Providence Quartet; Apple Hill String Quartet; Quartet X,David Deveau; Daniel Gross; Thomas Zehetmair; Ian Bostridge; Andrew Manze; Gordon Nicolich; Yi-heng Yang,2012
Blake Hinson,Double Bass,Harold Robinson; Edgar Meyer,The Curtis Institute of Music,2006 Aspen Music Festival low strings competition; 2009 International Society of Bassists Double Bass Competition,Aspen Music Festival and School,Aspen Chamber Symphony; Aspen Festival Orchestra,,2012
Satoshi Okamoto,double bassist,Eugene Levinson; Paul Ellison; Yoshio Nagashima; Osamu Yamamoto,The Juilliard School; Tokyo University of Fine Arts,"Aspen Music Festival (1993, 1997); International Society of Bassist Solo Competition (1997); Izuminomori International Double Bass Competition (2001)",Aspen Music Festival,Bateira trio; La Stella Quattro di Bassi,,2003
Isaac Trapkus,Double Bass,Leigh Mesh; Linda Gannett; Diana Gannett; Eugene Levinson,University of Michigan; The Juilliard School,Michigan's concerto competition; Juilliard's bass concerto competition,New York String Orchestra Seminar; Schleswig-Holstein Musik Festival,,,2016
David J. Grossman,Double bassist,,Boston Conservatory; Yale School of Music; Manhattan School of Music; The Hartt School; Penn State University,,New York Summer Music Festival,New York Philharmonic Ensembles,Merkin Concert Hall; 92nd Street Y; The Chamber Music Society of Lincoln Center,2000
Rion Wentworth,Bassist,Orin OBrien; Lynn Peters; Chris Hanulik; Eugene Levinson,North Carolina School of the Arts; The Juilliard School; Aspen Music Festival and School,,Eastern Music Festival; Aspen Music Festival and School,,,2016
Robert Langevin,Flute,Jean-Paul Major; Aurle Nicolet; Maxence Larrieu,"Montreal Conservatory of Music; Staatliche Hochschule fr Musik in Freiburg, Germany; Geneva",Prix dEurope (winner); Budapest International Competition (2nd prize),Orford International Summer Festival,Musica Camerata Montreal; lEnsemble de la Socit de Musique Contemporaine du Qubec; Philharmonic Quintet of New York,Nancy Allen,2000
Alison Fierst,Flute,Inna Leoni; Alberto Almarza; Jeanne Baxtresser; Robert Langevin; Nadine Asin; Mark Sparks; Demarre McGill,Carnegie Mellon University; Manhattan School of Music,National Flute Association Young Artist Competition; Flute Society of Greater Philadelphia Young Artist Competition; National Society of Arts and Letters (NSAL) Woodwind Competition,Aspen Music Festival and School,,,2019
Yoobin Son,Flute,Robert Langevin; Ransom Wilson; Jeffrey Khaner; Bradley Garner,Curtis Institute of Music; Yale University; Manhattan School of Music,Florida Orchestra Young Artist Competition; National Flute Association Soloist Competition; Koussevitzky International Winds Competition; New Jersey Symphony Orchestra Young Artist Auditions,Marlboro Music Festival; Music from Angel Fire,Ensemble Connect,,2012
Mindy Kaufman,flute and solo piccolo,Walfrid Kujala; Bonita Boyd; James Galway,Eastman School of Music,,Mt. Desert Festival of Chamber Music; Moab Music Festival; Hudson Valley Performing Arts Foundations Chamber Music Series; Grand Teton Music Festival; Concordia Chamber Players; Brightstar Music Festival; Benifai Music Festival; Colorado Music Festival,New York Philharmonic,,1979
Mindy Kaufman,flute and solo piccolo,Walfrid Kujala; Bonita Boyd; James Galway,Eastman School of Music,,Mt. Desert Festival of Chamber Music; Moab Music Festival; Hudson Valley Performing Arts Foundations Chamber Music Series; Grand Teton Music Festival; Concordia Chamber Players; Brightstar Music Festival; Benifai Music Festival; Colorado Music Festival; National Flute Convention; Japan Flute Convention; New York Flute Club,New York Philharmonic,,1979
Liang Wang,Oboe,Richard Woodhams,Beijing Central Conservatory; The Curtis Institute of Music,2014 Beijing International Music Festival Artist of the Year,Santa Fe Chamber Music Festival; Angel Fire Music Festival; La Jolla Music Societys SummerFest,Les Violons du Roy,Bernard Labadie,2006
Ryan Roberts,English horn / oboe,Elaine Douvas,The Juilliard School,International Double Reed Society 2018 Norma Hooks Young Artist Competition; National Society of Arts and Letters 2018 Woodwind Competition,Marlboro Music Festival,Gamut Bach Ensemble; Pacifica Quartet,Emanuel Ax,2019
Sherry Sylar,Oboe,,Indiana University; Northwestern University,,Aspen Music Festival; Grand Teton Music Festival; Jazz at Lincoln Center,New York Philharmonic Ensembles,Principal Bassoon Judith LeClair; Principal Viola Cynthia Phelps; Harriet Wingreen; Jonathan Feldman; Yi Fang Wang; Norman Weiss,1984
Robert Botti,Oboe,,The Juilliard School,,Grand Teton; Bach Stony Brook; Music from Colorado,Sylvan Winds,,1992
Benjamin Adler,Clarinet,Steve Cohen; Yehuda Gilad,Northwestern University; University of Southern California; Colburn School,,Clarinet Maestro Festival,,,2023
Ryan Roberts,English horn / oboe,Elaine Douvas,The Juilliard School,International Double Reed Society 2018 Norma Hooks Young Artist Competition; National Society of Arts and Letters 2018 Woodwind Competition,Marlboro Music Festival,Gamut Bach Ensemble; Pacifica Quartet,Mitsuko Uchida; Jonathan Biss; Emanuel Ax,2019
Anthony McGill,Clarinet,,Curtis Institute of Music,2020 Avery Fisher Prize,Tanglewood; Marlboro; Mainly Mozart; Music@Menlo; Santa Fe Chamber Music Festival; Seattle Chamber Music Festival; Skaneateles Chamber Music Festival,Brentano Quartet; Daedalus Quartet; Guarneri Quartet; JACK Quartet; Mir Quartet; Pacifica Quartet; Shanghai Quartet; Takcs Quartet; Tokyo Quartet,Emanuel Ax; Inon Barnatan; Gloria Chien; Yefim Bronfman; Gil Shaham; Midori; Mitsuko Uchida; Lang Lang; Demarre McGill; Michael McHale,2014
Pascual Martnez Forteza,clarinet,Yehuda Gilad,Baleares Conservatory of Music; Liceo de Barcelona Music Conservatories in Spain; University of Southern California,1998 Concerto Competition at University of Southern California,"International Clarinet Festival of Chanchung (China); ClarinetFest 2009 (Porto, Portugal); Buffet Crampon Summer Clarinet Festival (Jacksonville, Florida); XI Encuentro Internacional de Clarinetes de Lisboa (Portugal); Mexico Clarinet Convention; I Latinoamerican Clarinet Congress (Lima, Peru)",Duo Forteza-Nieto; Vent Cameristic,Gema Nieto,2001
Benjamin Adler,Clarinet,Steve Cohen; Yehuda Gilad,Northwestern University; University of Southern California; Colburn School,,Brevard Music Center,,,2023
Barret Ham,Clarinet / Bass Clarinet,Michael Wayne; Yehuda Gilad,New England Conservatory; University of Southern California,,Yellow Barn; Lucerne Festival Academy; Spoleto Festival USA,Tertulia San Francisco,Borromeo String Quartet,2023
Barret Ham,Clarinet,Michael Wayne; Yehuda Gilad,New England Conservatory; University of Southern California,,Yellow Barn; Lucerne Festival Academy; Spoleto Festival USA,Tertulia San Francisco; Borromeo String Quartet,,2023
Julian Gonzalez,Bassoon,Judith LeClair; Dr. Carlos Felipe Via,The Juilliard School; New World School of the Arts,,Music Academy of the West,,,2023
Judith LeClair,Bassoon,K. David Van Hoesen; Shirley Curtiss,Eastman School of Music,,Hidden Valley Music Seminar,Philharmonic Woodwind Quintet of New York,New York Philharmonic wind section,1981
Roger Nye,Bassoon,Gail Warnaar; Robert Barris; K. David van Hoesen; Norman Herzberg,Interlochen Arts Academy; Eastman School of Music; UCLA; USC,Won principal bassoon position with the Buffalo Philharmonic (1994-95); Won principal bassoon position with the Sydney Symphony Orchestra (1996),,Dakota Wind Quintet,,2005
R. Allen Spanjer,horn,Norman Schweikert; Ranier De Intinis; Philip Farkas; Paul Ingraham; Martin Smith; Harry Shapiro; Carmine Caruso,Interlochen Arts Academy; The Juilliard School; Brevard Music Center; Aspen Music Festival; SUNY Purchase; Waterloo Music Festival; Tanglewood Festival,,1996 European Festivals Tour; 2001 Latin American Tour; 1999 Symposium of the International Horn Society; 2014 Symposium of the International Horn Society; 2000 Northeast Horn Workshop; 2001 Northeast Horn Workshop,,,1993
Richard Deane,Horn,Stanley Lawson; Myron Bloom; Michael Hatfield; Jerry Peel; David Wakefield,The Juilliard School; University of Cincinnati CollegeConservatory of Music; University of Miami; Aspen Music Festival and School,American Horn Competition,Brevard Music Festival,Atlanta Chamber Players; Atlanta Symphony Brass Quintet,,2014
Tanner West,horn,Andrew Bain; Abigail Pack,Colburn Conservatory of Music; University of North Carolina at Greensboro,,Colorado College Music Festival; Music From Angel Fire; Aspen Music Festival and School,,,2023
Leelanee Sterrett,French Horn,William Purvis; Douglas Hill; Julie Schleif,University of WisconsinMadison; Yale School of Music,International Horn Competition of America; Yamaha Young Performing Artists Program,Tanglewood Music Center; Pacific Music Festival; Sarasota Music Festival; National Orchestral Institute; Banff Centre for the Arts,Ensemble Connect; National Brass Ensemble,Carnegie Hall; London Symphony Orchestra; Santa Fe Chamber Music Festival,2013
Christopher Martin,trumpet,Not available,The Juilliard School; Northwestern University,Not available,Saito Kinen Festival,Not available,Not available,2016
Matthew Muckey,trumpet,Charles Geyer; Barbara Butler,Northwestern University,Tanglewood Music Center,Tanglewood Music Center,,,2006
Thomas Smith,trumpet,Robert Nagel; Vincent Penzarella; Allen Dean; Roger Voisin,Interlochen Arts Academy; New England Conservatory of Music,,,Collage; Musica Viva,Empire Brass,1998
Ethan Bensdorf,trumpet,Barbara Butler; Charles Geyer; Christopher Martin,Northwestern University,Armando Ghitalla International Trumpet Classic Award,Pacific Music Festival; National Orchestral Institute; Tanglewood Music Center,Civic Orchestra of Chicago; New World Symphony; Chicago Symphony Orchestra's MusicNOW,,2008
Joseph Alessi,Trombone,"Joseph Alessi, Sr.",Curtis Institute of Music,1992 Pulitzer Prize-winning Trombone Concerto with the New York Philharmonic,"1997 International Trombone Festival in Feldkirch, Austria; International Meeting of Brass Instruments in Lille, France; Festivale Musica di Camera in Portogruaro, Italy; Cabrillo Music Festival; Swiss Brass Week; Lieksa Brass Week, Finland",New York Trombone Quartet; Aries Trombone Quartet; Four of a Kind Trombone Quartet; World Trombone Quartet; Slide Monsters Trombone Quartet,Philip Smith; Chick Corea,1985
Colin Williams,Trombone,Douglass Wright; Joseph Alessi; David Finlayson,Manhattan School of Music; The Juilliard School,Eastern Trombone Workshop; International Trombone Festival,Saito Kinen Festival Orchestra; Grand Teton Music Festival; Amelia Island Chamber Music Festival,Chicago Chamber Musicians,Bill Thomas; George Curran; Bradley Palmer,2014
David Finlayson,trombone,Glen P. Smith; Frank Crisafulli; John Marcellus; Abe Torchinsky,University of Michigan School of Music,,,,,1985
George Curran,Bass Trombone,John Rojak; Peter Norton,Central Michigan University; University of Cincinnati CollegeConservatory of Music,,International Trombone Festival; Slide Factory; Arctic Trombone Festival; Association of Spanish Trombonists; Jeju International Wind Ensemble Festival,,,2013
Kyle Zerna,timpani,Duncan Patton; Christopher S. Lamb,Manhattan School of Music,,Tanglewood Music Center,,,2010
Markus Rhoten,Timpani,Eliahu Inbal; Lorin Maazel,College of Arts in Berlin; National Opera Orchestra Mannheim; Academy of the Bavarian Radio Orchestra in Munich,,,,,2006
Alan Baer,Tuba,Dr. Gary Bird; Ronald Bishop; Tommy Johnson,"Indiana University of Pennsylvania; Cleveland Institute of Music; University of Southern California; California State University, Long Beach",,Peninsula Music Festival of Wisconsin; Ojai Festival Orchestra (California),University Tuba Ensemble; Brass Choir,,2004
Christopher Lamb,Percussionist,Not Available,Eastman School of Music; Manhattan School of Music; Royal Conservatoire of Scotland,Grammy Award for Best Classical Instrumental Soloist,Not Available,Not Available,Not Available,1985
Kyle Zerna,percussion,Duncan Patton; Christopher S. Lamb,Manhattan School of Music,,Tanglewood Music Center,,,2010
Paolo Bordignon,harpsichordist,John Weaver; Lionel Party,The Juilliard School; Curtis Institute of Music,,Metropolitan Museum of Art; Bard Music Festival; Aston Magna Academy,,,2008
Nancy Allen,Harp,Marcel Grandjany; Lily Laskine; Pearl Chertok,The Juilliard School,Fifth International Harp Competition (1973),Aspen Music Festival and School,The Chamber Music Society of Lincoln Center; Orpheus Chamber Orchestra,Kathleen Battle; Richard Stoltzman; Manuel Barrueco; Carol Wincenc; Cynthia Phelps,1999
Daniel Druckman,Percussionist,Jacob Druckman,The Juilliard School,,Santa Fe; Ravinia; Saratoga; Caramoor; Bridgehampton; Tanglewood; Aspen,The Chamber Music Society of Lincoln Center; Da Capo Chamber Players; American Brass Quintet; Group for Contemporary Music; Orpheus; Steve Reich and Musicians; Philip Glass Ensemble; New York New Music Ensemble; Speculum Musicae,Alan Feinberg; Fred Sherry; Dawn Upshaw,1991
Eric Huebner,Piano,Jerome Lowenthal,The Juilliard School,"Concert Artists Guild International Competition, 2002",,Antares,clarinet; violin; cello,2014
Kent Tritle,organist,Various,The Juilliard School,,Great Music in a Great Space,,,1994
Sara Griffin,oboe,,University of Missouri-Kansas City; University of Illinois at Urbana-Champaign,,Tanglewood Music Center Orchestra,,,2009
Lawrence Tarlow,Tuba,Joseph Novotny,The Juilliard School; Curtis Institute of Music,,Tanglewood Music Center,,,1985
DeAnne Eisch,violinist,,DePaul University,,,,,2017
Joseph Faretta,Stage Representative,,,,,,,2012
